Date,nsei,nsei_lag1,nasdaq,nasdaq1,hsi,nikkei,hsi_adv,nikkei_adv,Price
04-08-2016,0.25,-35.25,24.77978599999915,8.229980000000069,130.03907000000254,-58.94042999999874,87.6913999999997,110.6503900000007,8599.950195
05-08-2016,112.64941400000134,0.25,32.689940999999635,30.410156000000825,87.6913999999997,110.6503900000007,363.12890999999945,183.2988299999979,8600.200195
08-08-2016,14.950195999999778,112.64941400000134,32.83007800000087,-10.39990200000102,363.12890999999945,183.2988299999979,139.91992000000027,170.1211000000003,8712.849609
09-08-2016,-41.09961000000112,14.950195999999778,-7.330078000000867,9.270019000000502,139.91992000000027,170.1211000000003,47.0,66.66992000000027,8727.799805
10-08-2016,-113.90038999999888,-41.09961000000112,11.740234000000783,-23.37011700000039,47.0,66.66992000000027,-98.78906000000279,178.09961000000112,8686.700195
11-08-2016,-113.90038999999888,-113.90038999999888,-5.800293000000238,6.25,-98.78906000000279,66.66992000000027,376.5703100000028,178.09961000000112,8572.799805
12-08-2016,-113.90038999999888,-113.90038999999888,-2.4897460000001956,13.229980999999498,376.5703100000028,178.09961000000112,-23.650390000002517,-10.289059999999154,8572.799805
16-08-2016,-30.45019499999944,-113.90038999999888,5.77978499999972,-20.85009799999898,242.85937000000195,11.769529999997758,-12.580069999999978,-282.4003899999989,8670.25
17-08-2016,9.049804000000222,-30.45019499999944,-19.52001999999993,0.22021500000028027,-12.580069999999978,-282.4003899999989,51.1796800000011,53.65038999999888,8639.799805
18-08-2016,45.45019599999978,9.049804000000222,-1.9897459999992861,13.699706999999762,51.1796800000011,53.65038999999888,107.05077999999776,-91.52929999999833,8648.849609
19-08-2016,-27.29980500000056,45.45019599999978,3.4199220000000423,8.509765999999217,107.05077999999776,-91.52929999999833,-212.2109300000011,40.87890999999945,8694.299805
22-08-2016,-38.65039099999922,-27.29980500000056,1.5898439999991751,13.140137000000323,-212.2109300000011,40.87890999999945,-14.058599999996659,-49.43946000000142,8667.0
23-08-2016,20.150390999999217,-38.65039099999922,34.31982400000015,-5.699706999999762,-14.058599999996659,-49.43946000000142,83.16015999999945,0.3906300000016927,8628.349609
24-08-2016,20.349609000000783,20.150390999999217,-11.359862999999677,-36.72998100000041,83.16015999999945,0.3906300000016927,-196.26172000000224,29.939449999998033,8648.5
25-08-2016,-54.5,20.349609000000783,-46.810058999999455,4.590331999999762,-196.26172000000224,29.939449999998033,12.851560000002792,-94.59960999999748,8668.849609
26-08-2016,-30.599609000000783,-54.5,11.439941999999064,-0.12988299999960873,12.851560000002792,-94.59960999999748,76.97851999999693,145.50976999999693,8614.349609
29-08-2016,63.0,-30.599609000000783,4.75,8.530273000000307,76.97851999999693,145.50976999999693,40.88086000000112,59.919920000000275,8583.75
30-08-2016,107.29980500000056,63.0,6.080077999999958,-6.889648999998826,40.88086000000112,59.919920000000275,98.0,166.84961000000112,8646.75
31-08-2016,39.54980400000022,107.29980500000056,-13.459960999999566,-3.199706999999762,98.0,166.84961000000112,-145.91992000000027,27.330079999999725,8754.049805
01-09-2016,2.75,39.54980400000022,1.8598629999996774,8.930175999999847,-145.91992000000027,27.330079999999725,259.8496100000011,18.61913999999888,8793.599609
02-09-2016,56.35058599999866,2.75,31.380371000000196,0.23974600000019564,259.8496100000011,18.61913999999888,419.30077999999776,227.74023000000307,8796.349609
06-09-2016,116.0,56.35058599999866,10.339844000000085,15.910155999999915,106.96875,-96.49023000000307,101.95117000000027,-97.64843999999721,8852.700195
07-09-2016,-53.20019499999944,116.0,14.229980000000069,9.700195999999778,101.95117000000027,-97.64843999999721,-80.87108999999691,46.61913999999888,8968.700195
08-09-2016,18.79980500000056,-53.20019499999944,-4.270019000000502,-10.479980999999498,-80.87108999999691,46.61913999999888,220.4101499999997,10.369139999998879,8915.5
09-09-2016,-201.34961000000112,18.79980500000056,-52.00976599999922,-92.04003900000043,220.4101499999997,10.369139999998879,-328.74023000000307,-246.0097599999972,8934.299805
12-09-2016,-22.299804000000222,-201.34961000000112,-119.92041000000063,113.8603519999997,-328.74023000000307,-246.0097599999972,-31.89843999999721,16.291009999997186,8732.950195
14-09-2016,33.199218000001565,-22.299804000000222,-20.930175999999847,13.560059000000365,-338.5507800000014,-132.58984000000055,11.619139999998879,-119.64062999999805,8710.650391
15-09-2016,37.0,33.199218000001565,17.890137000000323,71.58984299999975,11.619139999998879,-119.64062999999805,249.41992000000027,-53.679690000000846,8743.849609
16-09-2016,7.600585999998657,37.0,60.60986299999968,5.859863000000587,11.619139999998879,-53.679690000000846,249.41992000000027,-55.51952999999776,8780.849609
19-09-2016,27.649414000001343,7.600585999998657,24.839844000000085,-28.52001999999993,249.41992000000027,-53.679690000000846,7.390630000001693,-55.51952999999776,8788.450195
20-09-2016,-25.799804000000222,27.649414000001343,-7.359864000000016,-14.839842999999746,7.390630000001693,-55.51952999999776,28.84961000000112,68.62890999999945,8816.099609
21-09-2016,83.04980400000022,-25.799804000000222,7.459961000000476,31.530273999999736,28.84961000000112,68.62890999999945,397.32030999999915,287.9902299999994,8790.299805
22-09-2016,7.4003909999992175,83.04980400000022,59.60986399999911,16.260254000000714,397.32030999999915,68.62890999999945,-83.58007999999973,287.9902299999994,8873.349609
23-09-2016,-72.84960900000078,7.4003909999992175,4.170410000000629,-21.680175999999847,-83.58007999999973,287.9902299999994,-281.7695300000014,-52.390620000001945,8880.75
26-09-2016,-59.0,-72.84960900000078,-51.70019599999978,-18.239745999999286,-281.7695300000014,-52.390620000001945,-198.8007800000014,-316.53905999999915,8807.900391
